elapsed_ms,t_elapsed_s,lat_deg,lon_deg,alt_m,east_m,north_m,up_m,ve,vn,vu,speed_mps,heading_deg,pos_sigma_h_m,pos_sigma_v_m,vel_sigma_mps,coasting
218,0.218,32.867512,-117.25684,2.3,0.2619531,0.000855933174,3.84334109e-09,1.20322601,0.00785458142,3.52600102e-08,1.20325165,89.6259822,4.52648383,3.20070741,0.460104336,0
236,0.236,32.867512,-117.25684,2.3,0.283613533,0.00100315728,4.50422367e-09,1.20348876,0.00850365289,3.81713873e-08,1.2035188,89.5951642,4.52666122,3.20083284,0.462912519,0
255,0.255,32.867512,-117.25684,2.30000001,0.306482448,0.00117123626,5.25867467e-09,1.20376548,0.00918887125,4.12445075e-08,1.20380055,89.5626446,4.5268651,3.20097701,0.466021459,0
273,0.273,32.867512,-117.256839,2.30000001,0.328152581,0.00134247903,6.0272782e-09,1.20402708,0.00983810334,4.41558844e-08,1.20406727,89.5318467,4.52707421,3.20112487,0.468794198,0
291,0.291,32.867512,-117.256839,2.30000001,0.349827418,0.00152540868,6.84828651e-09,1.20428813,0.0104874128,4.70672615e-08,1.20433379,89.5010585,4.52729904,3.20128385,0.471550634,0
309,0.309,32.867512,-117.256839,2.30000001,0.371506949,0.00172002659,7.72169961e-09,1.20454862,0.0111367993,4.99786384e-08,1.2046001,89.4702801,4.52753976,3.20145407,0.47429105,0
327,0.327,32.867512,-117.256839,2.30000001,0.393191164,0.00192633414,8.64751749e-09,1.20480856,0.0117862622,5.28900154e-08,1.20486621,89.4395113,4.52779658,3.20163566,0.477015723,0
345,0.345,32.867512,-117.256839,2.30000001,0.414880052,0.00214433271,9.62574016e-09,1.20506795,0.0124358011,5.58013923e-08,1.20513211,89.4087523,4.52806966,3.20182876,0.479724921,0
364,0.364,32.867512,-117.256838,2.30000001,0.437778939,0.00238712716,1.07151613e-08,1.20534113,0.0131215097,5.88745124e-08,1.20541255,89.3762949,4.52837576,3.20204521,0.482725595,0
382,0.382,32.867512,-117.256838,2.30000001,0.459477403,0.00262916158,1.18011049e-08,1.20559938,0.0137712033,6.17858894e-08,1.20567803,89.3455558,4.52868286,3.20226236,0.485402925,0
400,0.4,32.867512,-117.256838,2.30000001,0.481180511,0.00288289115,1.29394533e-08,1.20585707,0.0144209716,6.46972664e-08,1.2059433,89.3148264,4.5290068,3.20249142,0.488065569,0
418,0.418,32.867512,-117.256838,2.30000001,0.502888253,0.00314831722,1.41302065e-08,1.20611421,0.0150708139,6.76086434e-08,1.20620837,89.2841067,4.52934776,3.20273251,0.490713766,0
436,0.436,32.867512,-117.256837,2.30000002,0.524600618,0.00342544112,1.53733644e-08,1.2063708,0.0157207298,7.05200203e-08,1.20647323,89.2533966,4.52970591,3.20298577,0.493347748,0
455,0.455,32.867512,-117.256837,2.30000002,0.54752423,0.00373065297,1.67424395e-08,1.20664102,0.0164068336,7.35931404e-08,1.20675256,89.2209909,4.53010282,3.20326642,0.496266058,0
473,0.473,32.867512,-117.256837,2.30000002,0.569246068,0.00403182657,1.80933184e-08,1.20689647,0.0170568993,7.65045174e-08,1.207017,89.1903007,4.5304969,3.20354508,0.498870725,0
491,0.491,32.867512,-117.256837,2.30000002,0.590972498,0.00434470199,1.94966021e-08,1.20715136,0.0177070372,7.94158943e-08,1.20728122,89.1596201,4.53090875,3.2038363,0.501461863,0
509,0.509,32.867512,-117.256836,2.30000002,0.612703512,0.00466928055,2.09522906e-08,1.2074057,0.0183572468,8.23272713e-08,1.20754524,89.1289492,4.53133854,3.20414021,0.504039681,0
527,0.527,32.867512,-117.256836,2.30000002,0.634439098,0.00500556352,2.24603839e-08,1.20765949,0.0190075276,8.52386481e-08,1.20780906,89.0982879,4.53178645,3.20445693,0.506604382,0
545,0.545,32.867512,-117.256836,2.30000002,0.656179248,0.00535355218,2.40208819e-08,1.20791272,0.0196578791,8.8150025e-08,1.20807267,89.0676362,4.53225267,3.2047866,0.509156165,0
564,0.564,32.8675121,-117.256836,2.30000003,0.679132123,0.00573357421,2.5724927e-08,1.2081794,0.0203444395,9.12231451e-08,1.20835068,89.035292,4.53276484,3.20514876,0.511984375,0
582,0.582,32.8675121,-117.256835,2.30000003,0.700881621,0.00610562858,2.7393146e-08,1.20843149,0.020994935,9.4134522e-08,1.20861386,89.00466,4.53326926,3.20550543,0.514509475,0
600,0.6,32.8675121,-117.256835,2.30000003,0.722635652,0.00648939249,2.91137698e-08,1.20868303,0.0216454997,9.7045899e-08,1.20887683,88.9740377,4.53379253,3.20587544,0.517022243,0
618,0.618,32.8675121,-117.256835,2.30000003,0.744394205,0.00688486719,3.08867984e-08,1.20893401,0.0222961333,9.99572759e-08,1.2091396,88.9434249,4.53433485,3.20625892,0.519522858,0
636,0.636,32.8675121,-117.256835,2.30000003,0.766157272,0.0072920539,3.27122318e-08,1.20918444,0.0229468352,1.02868653e-07,1.20940216,88.9128218,4.53489638,3.20665598,0.522011494,0
655,0.655,32.8675121,-117.256835,2.30000003,0.789134281,0.00773456958,3.46959308e-08,1.20944817,0.0236337629,1.05941773e-07,1.20967906,88.8805287,4.53551016,3.20708999,0.524770426,0
673,0.673,32.8675121,-117.256834,2.30000004,0.810906592,0.00816583488,3.66290851e-08,1.20969746,0.0242846038,1.0885315e-07,1.20994119,88.8499451,4.53611177,3.20751539,0.527234293,0
691,0.691,32.8675121,-117.256834,2.30000004,0.832683385,0.00860881592,3.86146442e-08,1.20994619,0.0249355117,1.11764527e-07,1.21020311,88.8193712,4.53673315,3.20795478,0.5296867,0
709,0.709,32.8675121,-117.256834,2.30000004,0.85446465,0.0090635139,4.06526081e-08,1.21019438,0.025586486,1.14675904e-07,1.21046483,88.7888067,4.53737448,3.20840827,0.532127804,0
727,0.727,32.8675121,-117.256834,2.30000004,0.876250377,0.00952993001,4.27429767e-08,1.210442,0.0262375262,1.17587281e-07,1.21072633,88.7582518,4.53803594,3.20887599,0.534557761,0
745,0.745,32.8675121,-117.256833,2.30000004,0.898040557,0.0100080654,4.48857502e-08,1.21068908,0.026888632,1.20498657e-07,1.21098763,88.7277065,4.5387177,3.20935806,0.536976722,0
764,0.764,32.8675121,-117.256833,2.30000005,0.921046121,0.0105254793,4.72044193e-08,1.21094926,0.0275759826,1.23571778e-07,1.2112632,88.6954743,4.53945956,3.20988264,0.539659152,0
782,0.782,32.8675121,-117.256833,2.30000005,0.942845421,0.0110277081,4.94549137e-08,1.21119519,0.0282272215,1.26483155e-07,1.21152407,88.6649485,4.54018361,3.21039462,0.542055348,0
800,0.8,32.8675121,-117.256833,2.30000005,0.964649143,0.0115416598,5.17578129e-08,1.21144057,0.0288785244,1.29394532e-07,1.21178473,88.6344322,4.54092852,3.21092135,0.544440998,0
818,0.818,32.8675121,-117.256832,2.30000005,0.986457277,0.0120673356,5.41131168e-08,1.2116854,0.0295298909,1.32305909e-07,1.21204518,88.6039254,4.54169445,3.21146294,0.54681624,0
836,0.836,32.8675121,-117.256832,2.30000006,1.00826981,0.0126047365,5.65208256e-08,1.21192967,0.0301813204,1.35217286e-07,1.21230542,88.573428,4.54248157,3.21201952,0.549181209,0
855,0.855,32.8675121,-117.256832,2.30000006,1.03129892,0.0131847146,5.91191487e-08,1.21218689,0.0308690103,1.38290406e-07,1.21257988,88.5412465,4.54333562,3.21262342,0.551804313,0
873,0.873,32.8675121,-117.256832,2.30000006,1.05312047,0.0137462208,6.16345784e-08,1.21243003,0.0315205681,1.41201783e-07,1.21283969,88.5107687,4.54416687,3.21321121,0.554147995,0
891,0.891,32.8675121,-117.256831,2.30000006,1.0749464,0.0143194556,6.42024128e-08,1.2126726,0.0321721875,1.4411316e-07,1.21309929,88.4803002,4.54501987,3.21381437,0.556481806,0
909,0.909,32.8675121,-117.256831,2.30000007,1.09677668,0.0149044201,6.68226521e-08,1.21291463,0.0328238681,1.47024537e-07,1.21335869,88.4498413,4.54589478,3.21443302,0.55880587,0
927,0.927,32.8675121,-117.256831,2.30000007,1.11861132,0.0155011154,6.94952962e-08,1.2131561,0.0334756095,1.49935914e-07,1.21361787,88.4193917,4.54679177,3.21506729,0.561120308,0
945,0.945,32.8675121,-117.256831,2.30000007,1.1404503,0.0161095426,7.2220345e-08,1.21339701,0.034127411,1.5284729e-07,1.21387684,88.3889516,4.54771101,3.2157173,0.563425239,0
964,0.964,32.8675122,-117.256831,2.30000008,1.16350725,0.0167645002,7.51536381e-08,1.21365069,0.0348154904,1.55920411e-07,1.21414996,88.3568305,4.54870566,3.21642062,0.565982332,0
982,0.982,32.8675122,-117.25683,2.30000008,1.18535512,0.0173970463,7.79864079e-08,1.21389047,0.0354674143,1.58831788e-07,1.2144085,88.3264098,4.5496712,3.21710336,0.568267543,0
1000,1,32.8675121,-117.25683,2.30000006,1.21793989,0.00935517997,5.80337022e-08,1.20494875,0.0361666186,1.6147079e-07,1.20549139,88.2807794,3.20408091,2.7060549,0.343480768,0
1018,1.018,32.8675121,-117.25683,2.30000006,1.23963112,0.0100120475,6.09663789e-08,1.20518741,0.0368186596,1.64382167e-07,1.20574969,88.2501494,3.20434634,2.70666472,0.347233406,0
1036,1.036,32.8675121,-117.256829,2.30000006,1.26132663,0.0106806522,6.39514603e-08,1.20542552,0.0374707584,1.67293545e-07,1.20600777,88.219529,3.20462394,2.70729399,0.350945919,0
1055,1.055,32.8675121,-117.256829,2.30000007,1.2842321,0.0113991364,6.71592323e-08,1.20567625,0.038159149,1.70366665e-07,1.20627996,88.1872177,3.20493045,2.70797946,0.355036672,0
1073,1.073,32.8675121,-117.256829,2.30000007,1.3059364,0.012091871,7.02520346e-08,1.20591322,0.0388113652,1.73278042e-07,1.20653761,88.1566169,3.20523389,2.70864915,0.358668424,0
1091,1.091,32.8675121,-117.256829,2.30000007,1.32764497,0.012796346,7.33972418e-08,1.20614964,0.0394636379,1.76189418e-07,1.20679506,88.1260256,3.2055503,2.70933873,0.362263769,0
1109,1.109,32.8675121,-117.256829,2.30000008,1.34935779,0.0135125625,7.65948537e-08,1.2063855,0.0401159666,1.79100795e-07,1.2070523,88.0954438,3.20587995,2.71004833,0.36582378,0
1127,1.127,32.8675121,-117.256828,2.30000008,1.37107484,0.0142405213,7.98448704e-08,1.20662081,0.0407683507,1.82012172e-07,1.20730934,88.0648716,3.20622308,2.71077809,0.36934948,0
1145,1.145,32.8675121,-117.256828,2.30000008,1.39279613,0.0149802236,8.31472919e-08,1.20685556,0.0414207897,1.84923549e-07,1.20756616,88.0343089,3.20657997,2.71152815,0.372841841,0
1164,1.164,32.8675121,-117.256828,2.30000009,1.41572873,0.0157737617,8.6690034e-08,1.20710274,0.0421095361,1.87996669e-07,1.20783701,88.0020585,3.20697188,2.71234206,0.376694887,0
1182,1.182,32.8675121,-117.256828,2.30000009,1.43745869,0.0165376063,9.01001764e-08,1.20733636,0.0427620867,1.90908046e-07,1.20809341,87.9715153,3.20735784,2.7131343,0.380119768,0
1200,1.2,32.8675122,-117.256827,2.30000009,1.45919284,0.0173131973,9.35627236e-08,1.20756942,0.0434146908,1.93819423e-07,1.20834959,87.9409816,3.20775835,2.71394727,0.383514065,0
1218,1.218,32.8675122,-117.256827,2.3000001,1.48093118,0.0181005356,9.70776756e-08,1.20780193,0.044067348,1.967308e-07,1.20860557,87.9104574,3.20817367,2.7147811,0.386878583,0
1236,1.236,32.8675122,-117.256827,2.3000001,1.5026737,0.0188996223,1.00645032e-07,1.20803388,0.0447200578,1.99642177e-07,1.20886134,87.8799427,3.20860405,2.71563594,0.390214093,0
1255,1.255,32.8675122,-117.256827,2.3000001,1.52562867,0.0197558492,1.04467428e-07,1.2082781,0.0454090873,2.02715297e-07,1.20913107,87.8477428,3.20907495,2.7165612,0.393897243,0
1273,1.273,32.8675122,-117.256826,2.30000011,1.54737975,0.0205790881,1.08142506e-07,1.20850891,0.0460619038,2.05626674e-07,1.20938641,87.8172475,3.20953711,2.71745964,0.397173814,0
1291,1.291,32.8675122,-117.256826,2.30000011,1.56913498,0.0214140781,1.11869989e-07,1.20873917,0.0467147714,2.08538051e-07,1.20964154,87.7867617,3.21001511,2.7183795,0.400423574,0
1309,1.309,32.8675122,-117.256826,2.30000012,1.59089436,0.0222608203,1.15649876e-07,1.20896888,0.0473676896,2.11449428e-07,1.20989646,87.7562853,3.21050923,2.71932092,0.403647171,0
1327,1.327,32.8675122,-117.256826,2.30000012,1.61265786,0.0231193154,1.19482168e-07,1.20919803,0.0480206581,2.14360805e-07,1.21015117,87.7258183,3.21101971,2.72028402,0.406845226,0
1345,1.345,32.8675122,-117.256825,2.30000012,1.63442548,0.0239895644,1.23366865e-07,1.20942662,0.0486736763,2.17272182e-07,1.21040567,87.6953608,3.21154681,2.72126894,0.410018339,0
1364,1.364,32.8675122,-117.256825,2.30000013,1.65740687,0.0249209131,1.27524231e-07,1.2096673,0.0493630281,2.20345302e-07,1.21067406,87.6632213,3.21212151,2.72233238,0.413525136,0
1382,1.382,32.8675122,-117.256825,2.30000013,1.67918293,0.0258153257,1.31516649e-07,1.20989475,0.0500161471,2.23256679e-07,1.21092813,87.6327831,3.21268358,2.72336256,0.416647379,0
1400,1.4,32.8675122,-117.256825,2.30000014,1.70096308,0.0267214949,1.35561472e-07,1.21012165,0.0506693143,2.26168056e-07,1.21118198,87.6023542,3.21326305,2.72441497,0.419746398,0
1418,1.418,32.8675122,-117.256825,2.30000014,1.7227473,0.0276394214,1.39658699e-07,1.210348,0.0513225293,2.29079433e-07,1.21143563,87.5719348,3.21386018,2.72548972,0.422822703,0
1436,1.436,32.8675123,-117.256824,2.30000014,1.7445356,0.0285691063,1.43808331e-07,1.21057379,0.0519757917,2.3199081e-07,1.21168907,87.5415248,3.21447523,2.72658695,0.425876788,0
1455,1.455,32.8675123,-117.256824,2.30000015,1.76753876,0.0295631976,1.48245351e-07,1.21081151,0.0526653986,2.3506393e-07,1.21195634,87.5094354,3.21514414,2.72776967,0.429254049,0
1473,1.473,32.8675123,-117.256824,2.30000015,1.78933539,0.030517055,1.52502704e-07,1.21103617,0.0533187569,2.37975307e-07,1.21220934,87.4790446,3.2157968,2.72891352,0.432262696,0
1491,1.491,32.8675123,-117.256824,2.30000016,1.81113606,0.0314826733,1.56812462e-07,1.21126027,0.053972161,2.40886684e-07,1.21246213,87.4486632,3.21646815,2.73008023,0.435250547,0
1509,1.509,32.8675123,-117.256823,2.30000016,1.83294075,0.0324600533,1.61174625e-07,1.21148381,0.0546256106,2.43798061e-07,1.21271472,87.4182912,3.21715843,2.73126995,0.438218026,0
1527,1.527,32.8675123,-117.256823,2.30000017,1.85474947,0.0334491957,1.65589193e-07,1.2117068,0.0552791051,2.46709438e-07,1.21296709,87.3879285,3.21786791,2.73248278,0.441165545,0
1545,1.545,32.8675123,-117.256823,2.30000017,1.87656219,0.0344501014,1.70056165e-07,1.21192924,0.0559326441,2.49620815e-07,1.21321925,87.3575751,3.21859682,2.73371886,0.444093502,0
1564,1.564,32.8675123,-117.256823,2.30000017,1.89959107,0.0355193757,1.74828155e-07,1.21216341,0.0566225398,2.52693935e-07,1.21348517,87.3255454,3.21938758,2.73504896,0.447333252,0
1582,1.582,32.8675123,-117.256822,2.30000018,1.92141201,0.0365444641,1.79402848e-07,1.21238471,0.0572761688,2.55605312e-07,1.21373689,87.2952112,3.22015723,2.73633321,0.450221099,0
1600,1.6,32.8675123,-117.256822,2.30000018,1.94323692,0.0375813181,1.84029946e-07,1.21260545,0.0579298408,2.58516689e-07,1.21398841,87.2648863,3.22094709,2.73764108,0.453090541,0
1618,1.618,32.8675123,-117.256822,2.30000019,1.9650658,0.0386299387,1.88709449e-07,1.21282564,0.0585835553,2.61428066e-07,1.21423971,87.2345707,3.22175741,2.73897269,0.455941924,0
1636,1.636,32.8675124,-117.256822,2.30000019,1.98689864,0.0396903265,1.93441357e-07,1.21304527,0.059237312,2.64339443e-07,1.2144908,87.2042644,3.22258841,2.74032816,0.458775586,0
1655,1.655,32.8675124,-117.256821,2.3000002,2.00994869,0.0408223916,1.98493001e-07,1.21327649,0.0599274349,2.67412563e-07,1.21475559,87.1722844,3.22348831,2.74178496,0.461912371,0
1673,1.673,32.8675124,-117.256821,2.3000002,2.03178964,0.04190697,2.03332629e-07,1.21349499,0.0605812765,2.7032394e-07,1.21500624,87.1419972,3.22436265,2.74318985,0.464709628,0
1691,1.691,32.8675124,-117.256821,2.30000021,2.05363451,0.0430033179,2.08224662e-07,1.21371293,0.0612351589,2.73235317e-07,1.21525669,87.1117192,3.22525844,2.74461898,0.467490148,0
1709,1.709,32.8675124,-117.256821,2.30000021,2.0754833,0.0441114361,2.13169101e-07,1.21393031,0.0618890814,2.76146694e-07,1.21550692,87.0814505,3.22617593,2.74607244,0.470254227,0
1727,1.727,32.8675124,-117.256821,2.30000022,2.097336,0.0452313252,2.18165943e-07,1.21414715,0.0625430437,2.79058071e-07,1.21575693,87.0511911,3.22711537,2.74755037,0.473002155,0
1745,1.745,32.8675124,-117.25682,2.30000022,2.11919259,0.046362986,2.23215191e-07,1.21436342,0.0631970452,2.81969448e-07,1.21600674,87.0209409,3.22807698,2.74905286,0.47573421,0
1764,1.764,32.8675124,-117.25682,2.30000023,2.14226766,0.0475702885,2.28601805e-07,1.2145911,0.0638874233,2.85042568e-07,1.21627018,86.9890201,3.22911635,2.7506656,0.478759896,0
1782,1.782,32.8675124,-117.25682,2.30000023,2.16413223,0.0487261488,2.33758774e-07,1.21480624,0.064541504,2.87953945e-07,1.21651954,86.9587889,3.23012433,2.75221896,0.48145928,0
1800,1.8,32.8675124,-117.25682,2.30000024,2.18600068,0.049893783,2.38968147e-07,1.21502082,0.0651956224,2.90865322e-07,1.2167687,86.9285669,3.23115524,2.75379723,0.484143613,0
1818,1.818,32.8675125,-117.256819,2.30000024,2.20787298,0.0510731916,2.44229925e-07,1.21523485,0.0658497782,2.93776699e-07,1.21701764,86.8983541,3.23220932,2.75540054,0.486813145,0
1836,1.836,32.8675125,-117.256819,2.30000025,2.22974913,0.0522643753,2.49544108e-07,1.21544833,0.0665039709,2.96688076e-07,1.21726637,86.8681506,3.23328681,2.75702898,0.489468118,0
1855,1.855,32.8675125,-117.256819,2.30000026,2.25284478,0.0535345112,2.55210377e-07,1.21567305,0.067194548,2.99761196e-07,1.21752867,86.8362789,3.2344498,2.75877528,0.492409421,0
1873,1.873,32.8675125,-117.256819,2.30000026,2.27472881,0.0547499015,2.6063228e-07,1.21588539,0.067848815,3.02672573e-07,1.21777696,86.8060943,3.23557615,2.76045574,0.495034381,0
1891,1.891,32.8675125,-117.256818,2.30000027,2.29661665,0.0559770689,2.66106589e-07,1.21609717,0.0685031173,3.0558395e-07,1.21802504,86.7759188,3.23672664,2.76216167,0.497645495,0
1909,1.909,32.8675125,-117.256818,2.30000027,2.3185083,0.057216014,2.71633303e-07,1.2163084,0.0691574546,3.08495327e-07,1.21827291,86.7457525,3.2379015,2.76389317,0.500242979,0
1927,1.927,32.8675125,-117.256818,2.30000028,2.34040375,0.0584667376,2.77212421e-07,1.21651907,0.0698118263,3.11406704e-07,1.21852056,86.7155954,3.23910096,2.76565036,0.502827046,0
1945,1.945,32.8675125,-117.256818,2.30000028,2.36230298,0.0597292401,2.82843944e-07,1.21672919,0.0704662321,3.14318081e-07,1.21876799,86.6854475,3.24032527,2.76743333,0.505397901,0
1964,1.964,32.8675125,-117.256817,2.30000029,2.38542294,0.0610746611,2.88845182e-07,1.21695037,0.071157031,3.17391201e-07,1.21902893,86.6536345,3.24164479,2.76934344,0.508247025,0
1982,1.982,32.8675126,-117.256817,2.30000029,2.40732992,0.0623613779,2.94584426e-07,1.21715935,0.0718115052,3.20302578e-07,1.21927593,86.6235053,3.24292088,2.77117974,0.510790601,0
2000,2,32.8675127,-117.256817,2.30000023,2.42936065,0.079871307,2.31104616e-07,1.20605934,0.0722359885,3.20647441e-07,1.20822066,86.5724084,2.62624775,2.42543599,0.329872794,0
2018,2.018,32.8675127,-117.256817,2.30000024,2.45107159,0.0811774456,2.36902473e-07,1.20626721,0.0728905273,3.23558818e-07,1.20846746,86.5420202,2.62669871,2.42709839,0.33377846,0
2036,2.036,32.8675127,-117.256817,2.30000024,2.47278627,0.0824953662,2.42752734e-07,1.20647453,0.0735450977,3.26470195e-07,1.20871406,86.5116414,2.62716334,2.42879086,0.33763895,0
2055,2.055,32.8675128,-117.256816,2.30000025,2.49571135,0.0838992873,2.48984862e-07,1.20669275,0.0742360678,3.29543315e-07,1.20897411,86.4795848,2.62766894,2.43061009,0.341888959,0
2073,2.073,32.8675128,-117.256816,2.30000025,2.51743368,0.0852414282,2.54942844e-07,1.20689893,0.0748907017,3.32454692e-07,1.20922027,86.4492251,2.62816265,2.43236472,0.345658879,0
2091,2.091,32.8675128,-117.256816,2.30000026,2.53915971,0.0865953528,2.60953231e-07,1.20710456,0.0755453658,3.35366069e-07,1.20946621,86.4188747,2.62867099,2.43414975,0.349388123,0
2109,2.109,32.8675128,-117.256816,2.30000027,2.56088944,0.0879610617,2.67016023e-07,1.20730964,0.0762000596,3.38277446e-07,1.20971195,86.3885335,2.62919428,2.43596529,0.353077981,0
2127,2.127,32.8675128,-117.256815,2.30000027,2.58262285,0.0893385552,2.73131219e-07,1.20751416,0.0768547826,3.41188823e-07,1.20995748,86.3582017,2.62973282,2.43781145,0.356729674,0
2145,2.145,32.8675128,-117.256815,2.30000028,2.60435994,0.0907278341,2.7929882e-07,1.20771812,0.0775095343,3.441002e-07,1.21020279,86.3278791,2.63028693,2.43968832,0.360344364,0
2164,2.164,32.8675128,-117.256815,2.30000029,2.62730863,0.0922070812,2.85865919e-07,1.2079328,0.0782006927,3.47173321e-07,1.21046148,86.2958819,2.63088905,2.44170291,0.364329604,0
2182,2.182,32.8675128,-117.256815,2.30000029,2.64905324,0.093620587,2.92141241e-07,1.20813563,0.078855502,3.50084698e-07,1.21070636,86.2655784,2.63147614,2.44364326,0.367869624,0
2200,2.2,32.8675129,-117.256814,2.3000003,2.6708015,0.0950458796,2.98468968e-07,1.20833791,0.0795103388,3.52996075e-07,1.21095103,86.2352841,2.63207976,2.44561464,0.371375902,0
2218,2.218,32.8675129,-117.256814,2.3000003,2.6925534,0.0964829594,3.048491e-07,1.20853963,0.0801652023,3.55907452e-07,1.21119548,86.2049991,2.63270021,2.44761715,0.374849384,0
2236,2.236,32.8675129,-117.256814,2.30000031,2.71430893,0.0979318271,3.11281636e-07,1.20874079,0.0808200923,3.58818829e-07,1.21143972,86.1747233,2.63333781,2.44965089,0.378290973,0
2255,2.255,32.8675129,-117.256814,2.30000032,2.73727701,0.0994739762,3.18128388e-07,1.20895252,0.0815113939,3.61891949e-07,1.21169728,86.1427755,2.63402977,2.45183159,0.382089074,0
2273,2.273,32.8675129,-117.256813,2.30000032,2.75903996,0.100947076,3.24668646e-07,1.20915255,0.0821663365,3.64803326e-07,1.21194108,86.1125187,2.63470358,2.45392981,0.38546603,0
2291,2.291,32.8675129,-117.256813,2.30000033,2.7808065,0.102431965,3.31261308e-07,1.20935202,0.0828213042,3.67714703e-07,1.21218467,86.0822711,2.63539549,2.45605955,0.388813658,0
2309,2.309,32.8675129,-117.256813,2.30000034,2.80257663,0.103928643,3.37906375e-07,1.20955095,0.0834762962,3.7062608e-07,1.21242805,86.0520327,2.6361058,2.45822089,0.392132708,0
2327,2.327,32.8675129,-117.256813,2.30000034,2.82435033,0.105437111,3.44603847e-07,1.20974931,0.0841313123,3.73537457e-07,1.21267122,86.0218035,2.63683481,2.46041393,0.3954239,0
2345,2.345,32.867513,-117.256813,2.30000035,2.8461276,0.10695737,3.51353724e-07,1.20994713,0.0847863519,3.76448834e-07,1.21291417,85.9915835,2.63758283,2.46263874,0.398687924,0
2364,2.364,32.867513,-117.256812,2.30000036,2.86911857,0.10857488,3.58535446e-07,1.21015532,0.0854778082,3.79521954e-07,1.21317037,85.9596945,2.63839336,2.46502173,0.4022935,0
2382,2.382,32.867513,-117.256812,2.30000037,2.89090314,0.110119376,3.65393044e-07,1.21035199,0.0861328947,3.82433331e-07,1.21341288,85.9294934,2.63918141,2.46731214,0.405502232,0
2400,2.4,32.867513,-117.256812,2.30000037,2.91269124,0.111675664,3.72303046e-07,1.21054812,0.0867880032,3.85344708e-07,1.21365518,85.8993014,2.6399894,2.46963459,0.408685772,0
2418,2.418,32.867513,-117.256812,2.30000038,2.93448286,0.113243745,3.79265453e-07,1.21074368,0.0874431333,3.88256085e-07,1.21389727,85.8691186,2.64081765,2.47198916,0.411844704,0
2436,2.436,32.867513,-117.256811,2.30000039,2.956278,0.114823617,3.86280265e-07,1.2109387,0.0880982847,3.91167462e-07,1.21413914,85.838945,2.64166643,2.47437593,0.41497959,0
2455,2.455,32.867513,-117.256811,2.30000039,2.97928779,0.116504055,3.93741641e-07,1.21114394,0.0887898563,3.94240582e-07,1.2143942,85.8071049,2.64258499,2.47693032,0.418444812,0
2473,2.473,32.8675131,-117.256811,2.3000004,3.00109012,0.118108169,4.00864174e-07,1.21133781,0.0894450495,3.97151959e-07,1.21463563,85.77695,2.64347696,2.47938352,0.421530616,0
2491,2.491,32.8675131,-117.256811,2.30000041,3.02289595,0.119724077,4.08039112e-07,1.21153114,0.0901002625,4.00063336e-07,1.21487685,85.7468043,2.6443904,2.48186916,0.424593995,0
