locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
1780324224.000,32.867849,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324225.000,32.867863,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324226.000,32.867876,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324227.000,32.867890,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324228.000,32.867903,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324229.000,32.867917,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324230.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324231.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324232.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324233.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324234.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324235.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324236.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324237.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324238.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324239.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324240.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324241.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324242.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324243.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324244.000,32.867917,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324245.000,32.867930,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324246.000,32.867944,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324247.000,32.867957,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324248.000,32.867971,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324249.000,32.867984,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324250.000,32.867998,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324251.000,32.868011,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324252.000,32.868025,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324253.000,32.868038,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324254.000,32.868052,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324255.000,32.868065,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324256.000,32.868079,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324257.000,32.868092,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324258.000,32.868106,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324259.000,32.868119,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324260.000,32.868133,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324261.000,32.868146,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324262.000,32.868160,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324263.000,32.868173,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324264.000,32.868186,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324265.000,32.868200,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324266.000,32.868213,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324267.000,32.868227,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324268.000,32.868240,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324269.000,32.868254,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324270.000,32.868267,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324271.000,32.868281,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324272.000,32.868294,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324273.000,32.868308,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324274.000,32.868321,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324275.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324276.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324277.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324278.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324279.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324280.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324281.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324282.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324283.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324284.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324285.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324286.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324287.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324288.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324289.000,32.868321,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324290.000,32.868335,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324291.000,32.868348,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324292.000,32.868362,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324293.000,32.868375,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324294.000,32.868389,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324295.000,32.868402,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324296.000,32.868416,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324297.000,32.868429,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324298.000,32.868443,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324299.000,32.868456,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324300.000,32.868470,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324301.000,32.868483,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324302.000,32.868497,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324303.000,32.868510,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324304.000,32.868524,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324305.000,32.868537,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324306.000,32.868551,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324307.000,32.868564,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324308.000,32.868578,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324309.000,32.868591,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324310.000,32.868605,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324311.000,32.868618,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324312.000,32.868632,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324313.000,32.868645,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324314.000,32.868659,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324315.000,32.868672,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324316.000,32.868686,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324317.000,32.868699,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324318.000,32.868713,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324319.000,32.868726,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324320.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324321.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324322.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324323.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324324.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324325.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324326.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324327.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324328.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324329.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324330.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324331.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324332.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324333.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324334.000,32.868726,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324335.000,32.868740,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324336.000,32.868753,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324337.000,32.868767,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324338.000,32.868780,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324339.000,32.868794,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324340.000,32.868807,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324341.000,32.868821,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324342.000,32.868834,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324343.000,32.868847,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324344.000,32.868861,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324345.000,32.868874,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324346.000,32.868888,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324347.000,32.868901,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324348.000,32.868915,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324349.000,32.868928,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324350.000,32.868942,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324351.000,32.868955,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324352.000,32.868969,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324353.000,32.868982,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324354.000,32.868996,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324355.000,32.869009,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324356.000,32.869023,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324357.000,32.869036,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324358.000,32.869050,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324359.000,32.869063,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324360.000,32.869077,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324361.000,32.869090,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324362.000,32.869104,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324363.000,32.869117,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324364.000,32.869131,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
1780324365.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324366.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324367.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324368.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324369.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324370.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324371.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324372.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324373.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324374.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324375.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324376.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324377.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324378.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324379.000,32.869131,-117.256843,2.3,-1.000,0.300,-1.0,5.0,5.0,3.2,0
1780324380.000,32.869144,-117.256843,2.3,1.500,0.300,0.0,5.0,5.0,3.2,0
